,zpid,latestPrice,numOfBathrooms,livingAreaSqFt,numOfBedrooms,avgSchoolRating,numOfStories,MedianStudentsPerTeacher,numOfHighSchools,longitude,numOfPrimarySchools,zipcode,propertyTaxRate,latest_saledate,latest_salemonth,latest_saleyear
142,58300466,355000.0,3.0,1616.0,3,8.666666666666666,2,16,1,-97.80654907226562,0,78750,1.98,2020-09-10,9,2020
143,29438720,310000.0,2.0,2046.0,4,3.0,1,14,1,-97.64974975585938,0,78753,1.98,2020-05-28,5,2020
144,29459899,155000.0,2.0,1411.0,3,3.0,1,13,1,-97.58594512939452,1,78725,1.98,2018-02-06,2,2018
145,64812856,189000.0,3.0,1892.0,3,3.0,2,13,1,-97.59120178222656,1,78725,1.98,2019-06-28,6,2019
146,70352465,1025000.0,5.0,4558.0,5,8.333333333333334,2,17,1,-97.91254425048828,1,78732,1.98,2020-08-06,8,2020
147,145655881,339900.0,2.0,2095.0,3,3.6666666666666665,1,12,1,-97.69696044921876,1,78744,1.98,2020-07-09,7,2020
148,2079153478,515000.0,3.0,2623.0,4,7.0,1,16,1,-97.84323120117188,1,78726,1.98,2020-07-30,7,2020
149,29366849,625000.0,2.0,1947.0,2,7.0,2,16,1,-97.88896942138672,1,78732,1.98,2020-06-18,6,2020
150,185217434,339900.0,2.0,2192.0,3,8.333333333333334,1,16,1,-97.797607421875,1,78717,2.21,2018-05-25,5,2018
151,58265966,650000.0,3.0,3352.0,5,7.666666666666668,2,14,1,-97.81514739990234,1,78750,2.21,2020-03-12,3,2020
152,63835398,170000.0,2.0,1268.0,3,2.6666666666666665,1,13,1,-97.58031463623048,1,78724,1.98,2018-04-20,4,2018
153,70352461,759900.0,4.0,4867.0,4,8.333333333333334,2,17,1,-97.91169738769533,1,78732,1.98,2019-08-07,8,2019
154,29396970,214500.0,2.0,1306.0,3,3.6666666666666665,1,11,2,-97.64766693115234,1,78724,1.98,2018-05-23,5,2018
155,29438718,275000.0,3.0,2398.0,4,3.0,2,14,1,-97.64958953857422,0,78753,1.98,2018-01-27,1,2018
156,29370839,588000.0,4.0,4274.0,4,7.0,2,16,1,-97.86062622070312,1,78726,1.98,2019-05-16,5,2019
157,2132333345,174900.0,3.0,1372.0,3,3.0,1,13,1,-97.5716781616211,1,78725,1.98,2018-03-28,3,2018
158,29376465,937000.0,4.0,3695.0,4,8.666666666666666,2,16,1,-97.82142639160156,0,78726,1.98,2020-03-17,3,2020
159,29358978,595000.0,2.0,2448.0,4,7.0,2,17,1,-97.79694366455078,1,78750,1.98,2019-06-18,6,2019
160,121658390,169900.0,3.0,1250.0,2,3.0,2,13,1,-97.57234954833984,1,78725,1.98,2018-07-25,7,2018
161,89028960,625000.0,4.0,3485.0,5,8.333333333333334,2,17,1,-97.90794372558594,1,78732,1.98,2019-07-23,7,2019
162,80093467,235000.0,2.0,1526.0,3,3.6666666666666665,1,11,2,-97.63249969482422,1,78724,1.98,2019-03-04,3,2019
